str_reference,date_of_report,account_id,risk_tier,risk_score,typology,ring,total_inflow_inr,total_outflow_inr,transaction_count,counterparties,credits_just_below_ctr,grounds_of_suspicion,narrative,action_taken,regulatory_basis
STR/AMLT/2026/CNRB243795,2026-09-10,CNRB243795,CRITICAL,5,Fan-out / fan-in,RING-01,1853934,737650,4,5,0,"Consolidation point: received Rs 1,853,934 from 3 accounts that were all funded by the single upstream source HDFC801992 one to five days earlier. || Received Rs 768,386 from ICIC176070 on day 11 and forwarded Rs 737,650 to UTIB119613 on day 12 - 96.0% passed on, 4.0% skimmed, held 1 day(s). The account stores no value; it is a conduit, which is the defining signature of a money mule. It is not a settlement rail: the behaviour occurs 1 time(s), not on a recurring schedule. || Chokepoint of the suspicious sub-network: betweenness 0.0061, +2.4 standard deviations above the other alerted accounts. A disproportionate share of criminal payment paths runs through this single account, so an account freeze here fragments the network rather than displacing it. Corroborates the primary flag; does not create it.","Account CNRB243795 has been assessed as CRITICAL risk. Over the observation window it received Rs 1,853,934 and disbursed Rs 737,650. The account was surfaced by 3 independent detection layer(s) evidencing network chokepoint, fan-out / fan-in, pass-through conduit. The account does not act alone: it is one of 7 accounts in RING-01, alongside HDFC259211, HDFC801992, ICIC176070, ICIC511423, PUNB549145, UTIB119613, moving Rs 5,257,409 between themselves. Taken together the transaction pattern has no apparent lawful or economic purpose and is consistent with the placement and layering of proceeds of crime. A Suspicious Transaction Report is warranted under Section 12 of the Prevention of Money-Laundering Act, 2002 read with Rule 3 of the PML (Maintenance of Records) Rules, 2005.",Sub-network temporary hold recommended; account and its one-hop neighbourhood quarantined pending FIU-IND acknowledgement.,"Section 12, Prevention of Money-Laundering Act, 2002 r/w Rule 3, PML (Maintenance of Records) Rules, 2005 - reported to FIU-IND"
STR/AMLT/2026/IDIB774714,2026-09-10,IDIB774714,CRITICAL,5,Structuring / smurfing,RING-05,4760595,0,5,2,5,"5 transfers PUNB249924 -> IDIB774714 totalling Rs 4,760,595, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || 5 transfers PUNB249924 -> IDIB774714 totalling Rs 4,760,595, every one under Rs 1,000,000 and averaging 95% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 3%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || IsolationForest isolates this account at score -0.080. Largest deviations: amount_below_ctr_ratio (z=+5.2); total_received (z=+3.2); in_count (z=+2.3). Unsupervised, so it corroborates rather than originates the alert.","Account IDIB774714 has been assessed as CRITICAL risk. Over the observation window it received Rs 4,760,595 and disbursed Rs 0. The account was surfaced by 3 independent detection layer(s) evidencing threshold evasion, behavioural anomaly, structuring / smurfing. The account does not act alone: it is one of 2 accounts in RING-05, alongside PUNB249924, moving Rs 4,760,595 between themselves. Taken together the transaction pattern has no apparent lawful or economic purpose and is consistent with the placement and layering of proceeds of crime. A Suspicious Transaction Report is warranted under Section 12 of the Prevention of Money-Laundering Act, 2002 read with Rule 3 of the PML (Maintenance of Records) Rules, 2005.",Sub-network temporary hold recommended; account and its one-hop neighbourhood quarantined pending FIU-IND acknowledgement.,"Section 12, Prevention of Money-Laundering Act, 2002 r/w Rule 3, PML (Maintenance of Records) Rules, 2005 - reported to FIU-IND"
STR/AMLT/2026/PUNB249924,2026-09-10,PUNB249924,CRITICAL,5,Structuring / smurfing,RING-05,3058589,4760595,6,3,0,"5 transfers PUNB249924 -> IDIB774714 totalling Rs 4,760,595, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || 5 transfers PUNB249924 -> IDIB774714 totalling Rs 4,760,595, every one under Rs 1,000,000 and averaging 95% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 3%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || IsolationForest isolates this account at score -0.105. Largest deviations: amount_below_ctr_ratio (z=+4.3); total_sent (z=+3.2); out_count (z=+2.9). Unsupervised, so it corroborates rather than originates the alert.","Account PUNB249924 has been assessed as CRITICAL risk. Over the observation window it received Rs 3,058,589 and disbursed Rs 4,760,595. The account was surfaced by 3 independent detection layer(s) evidencing threshold evasion, behavioural anomaly, structuring / smurfing. The account does not act alone: it is one of 2 accounts in RING-05, alongside IDIB774714, moving Rs 4,760,595 between themselves. Taken together the transaction pattern has no apparent lawful or economic purpose and is consistent with the placement and layering of proceeds of crime. A Suspicious Transaction Report is warranted under Section 12 of the Prevention of Money-Laundering Act, 2002 read with Rule 3 of the PML (Maintenance of Records) Rules, 2005.",Sub-network temporary hold recommended; account and its one-hop neighbourhood quarantined pending FIU-IND acknowledgement.,"Section 12, Prevention of Money-Laundering Act, 2002 r/w Rule 3, PML (Maintenance of Records) Rules, 2005 - reported to FIU-IND"
STR/AMLT/2026/SBIN228293,2026-09-10,SBIN228293,CRITICAL,5,Structuring / smurfing,RING-06,4723738,0,5,2,5,"5 transfers UBIN261949 -> SBIN228293 totalling Rs 4,723,738, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || 5 transfers UBIN261949 -> SBIN228293 totalling Rs 4,723,738, every one under Rs 1,000,000 and averaging 94% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 2%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || IsolationForest isolates this account at score -0.110. Largest deviations: amount_below_ctr_ratio (z=+5.2); total_received (z=+3.2); in_count (z=+2.3). Unsupervised, so it corroborates rather than originates the alert.","Account SBIN228293 has been assessed as CRITICAL risk. Over the observation window it received Rs 4,723,738 and disbursed Rs 0. The account was surfaced by 3 independent detection layer(s) evidencing threshold evasion, behavioural anomaly, structuring / smurfing. The account does not act alone: it is one of 2 accounts in RING-06, alongside UBIN261949, moving Rs 4,723,738 between themselves. Taken together the transaction pattern has no apparent lawful or economic purpose and is consistent with the placement and layering of proceeds of crime. A Suspicious Transaction Report is warranted under Section 12 of the Prevention of Money-Laundering Act, 2002 read with Rule 3 of the PML (Maintenance of Records) Rules, 2005.",Sub-network temporary hold recommended; account and its one-hop neighbourhood quarantined pending FIU-IND acknowledgement.,"Section 12, Prevention of Money-Laundering Act, 2002 r/w Rule 3, PML (Maintenance of Records) Rules, 2005 - reported to FIU-IND"
STR/AMLT/2026/SBIN243921,2026-09-10,SBIN243921,CRITICAL,5,Structuring / smurfing,RING-07,4767409,0,5,2,5,"5 transfers YESB330254 -> SBIN243921 totalling Rs 4,767,409, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || 5 transfers YESB330254 -> SBIN243921 totalling Rs 4,767,409, every one under Rs 1,000,000 and averaging 95% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 1%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || IsolationForest isolates this account at score -0.086. Largest deviations: amount_below_ctr_ratio (z=+5.2); total_received (z=+3.2); in_count (z=+2.3). Unsupervised, so it corroborates rather than originates the alert.","Account SBIN243921 has been assessed as CRITICAL risk. Over the observation window it received Rs 4,767,409 and disbursed Rs 0. The account was surfaced by 3 independent detection layer(s) evidencing threshold evasion, behavioural anomaly, structuring / smurfing. The account does not act alone: it is one of 2 accounts in RING-07, alongside YESB330254, moving Rs 4,767,409 between themselves. Taken together the transaction pattern has no apparent lawful or economic purpose and is consistent with the placement and layering of proceeds of crime. A Suspicious Transaction Report is warranted under Section 12 of the Prevention of Money-Laundering Act, 2002 read with Rule 3 of the PML (Maintenance of Records) Rules, 2005.",Sub-network temporary hold recommended; account and its one-hop neighbourhood quarantined pending FIU-IND acknowledgement.,"Section 12, Prevention of Money-Laundering Act, 2002 r/w Rule 3, PML (Maintenance of Records) Rules, 2005 - reported to FIU-IND"
STR/AMLT/2026/UBIN261949,2026-09-10,UBIN261949,CRITICAL,5,Structuring / smurfing,RING-06,2832677,4723738,6,3,0,"5 transfers UBIN261949 -> SBIN228293 totalling Rs 4,723,738, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || 5 transfers UBIN261949 -> SBIN228293 totalling Rs 4,723,738, every one under Rs 1,000,000 and averaging 94% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 2%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || IsolationForest isolates this account at score -0.113. Largest deviations: amount_below_ctr_ratio (z=+4.3); total_sent (z=+3.2); out_count (z=+2.9). Unsupervised, so it corroborates rather than originates the alert.","Account UBIN261949 has been assessed as CRITICAL risk. Over the observation window it received Rs 2,832,677 and disbursed Rs 4,723,738. The account was surfaced by 3 independent detection layer(s) evidencing threshold evasion, behavioural anomaly, structuring / smurfing. The account does not act alone: it is one of 2 accounts in RING-06, alongside SBIN228293, moving Rs 4,723,738 between themselves. Taken together the transaction pattern has no apparent lawful or economic purpose and is consistent with the placement and layering of proceeds of crime. A Suspicious Transaction Report is warranted under Section 12 of the Prevention of Money-Laundering Act, 2002 read with Rule 3 of the PML (Maintenance of Records) Rules, 2005.",Sub-network temporary hold recommended; account and its one-hop neighbourhood quarantined pending FIU-IND acknowledgement.,"Section 12, Prevention of Money-Laundering Act, 2002 r/w Rule 3, PML (Maintenance of Records) Rules, 2005 - reported to FIU-IND"
STR/AMLT/2026/YESB330254,2026-09-10,YESB330254,CRITICAL,5,Structuring / smurfing,RING-07,3113164,4767409,6,3,0,"5 transfers YESB330254 -> SBIN243921 totalling Rs 4,767,409, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || 5 transfers YESB330254 -> SBIN243921 totalling Rs 4,767,409, every one under Rs 1,000,000 and averaging 95% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 1%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || IsolationForest isolates this account at score -0.106. Largest deviations: amount_below_ctr_ratio (z=+4.3); total_sent (z=+3.2); out_count (z=+2.9). Unsupervised, so it corroborates rather than originates the alert.","Account YESB330254 has been assessed as CRITICAL risk. Over the observation window it received Rs 3,113,164 and disbursed Rs 4,767,409. The account was surfaced by 3 independent detection layer(s) evidencing threshold evasion, behavioural anomaly, structuring / smurfing. The account does not act alone: it is one of 2 accounts in RING-07, alongside SBIN243921, moving Rs 4,767,409 between themselves. Taken together the transaction pattern has no apparent lawful or economic purpose and is consistent with the placement and layering of proceeds of crime. A Suspicious Transaction Report is warranted under Section 12 of the Prevention of Money-Laundering Act, 2002 read with Rule 3 of the PML (Maintenance of Records) Rules, 2005.",Sub-network temporary hold recommended; account and its one-hop neighbourhood quarantined pending FIU-IND acknowledgement.,"Section 12, Prevention of Money-Laundering Act, 2002 r/w Rule 3, PML (Maintenance of Records) Rules, 2005 - reported to FIU-IND"
STR/AMLT/2026/BARB257079,2026-09-10,BARB257079,CRITICAL,4,Circular flow,RING-02,559136,527581,2,3,0,"Member of a closed 5-hop loop carrying Rs 3,042,922, closed in 4 day(s): BARB257079 -> SBIN104123 -> UBIN914225 -> KKBK226182 -> SBIN596493 -> BARB257079. Hops are chronologically ordered and 63% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history. || Received Rs 559,136 from SBIN596493 on day 17 and forwarded Rs 527,581 to SBIN104123 on day 18 - 94.4% passed on, 5.6% skimmed, held 1 day(s). The account stores no value; it is a conduit, which is the defining signature of a money mule. It is not a settlement rail: the behaviour occurs 1 time(s), not on a recurring schedule.","Account BARB257079 has been assessed as CRITICAL risk. Over the observation window it received Rs 559,136 and disbursed Rs 527,581. The account was surfaced by 2 independent detection layer(s) evidencing circular flow, pass-through conduit. The account does not act alone: it is one of 5 accounts in RING-02, alongside KKBK226182, SBIN104123, SBIN596493, UBIN914225, moving Rs 3,042,922 between themselves. Taken together the transaction pattern has no apparent lawful or economic purpose and is consistent with the placement and layering of proceeds of crime. A Suspicious Transaction Report is warranted under Section 12 of the Prevention of Money-Laundering Act, 2002 read with Rule 3 of the PML (Maintenance of Records) Rules, 2005.",Sub-network temporary hold recommended; account and its one-hop neighbourhood quarantined pending FIU-IND acknowledgement.,"Section 12, Prevention of Money-Laundering Act, 2002 r/w Rule 3, PML (Maintenance of Records) Rules, 2005 - reported to FIU-IND"
STR/AMLT/2026/SBIN104123,2026-09-10,SBIN104123,CRITICAL,4,Circular flow,RING-02,527581,527242,2,3,0,"Member of a closed 5-hop loop carrying Rs 3,042,922, closed in 4 day(s): BARB257079 -> SBIN104123 -> UBIN914225 -> KKBK226182 -> SBIN596493 -> BARB257079. Hops are chronologically ordered and 63% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history. || Received Rs 527,581 from BARB257079 on day 18 and forwarded Rs 527,242 to UBIN914225 on day 19 - 99.9% passed on, 0.1% skimmed, held 1 day(s). The account stores no value; it is a conduit, which is the defining signature of a money mule. It is not a settlement rail: the behaviour occurs 1 time(s), not on a recurring schedule.","Account SBIN104123 has been assessed as CRITICAL risk. Over the observation window it received Rs 527,581 and disbursed Rs 527,242. The account was surfaced by 2 independent detection layer(s) evidencing circular flow, pass-through conduit. The account does not act alone: it is one of 5 accounts in RING-02, alongside BARB257079, KKBK226182, SBIN596493, UBIN914225, moving Rs 3,042,922 between themselves. Taken together the transaction pattern has no apparent lawful or economic purpose and is consistent with the placement and layering of proceeds of crime. A Suspicious Transaction Report is warranted under Section 12 of the Prevention of Money-Laundering Act, 2002 read with Rule 3 of the PML (Maintenance of Records) Rules, 2005.",Sub-network temporary hold recommended; account and its one-hop neighbourhood quarantined pending FIU-IND acknowledgement.,"Section 12, Prevention of Money-Laundering Act, 2002 r/w Rule 3, PML (Maintenance of Records) Rules, 2005 - reported to FIU-IND"
STR/AMLT/2026/SBIN909774,2026-09-10,SBIN909774,CRITICAL,4,Circular flow,RING-09,506285,505492,2,3,0,"Member of a closed 3-hop loop carrying Rs 1,557,210, closed in 2 day(s): HDFC300599 -> HDFC574140 -> SBIN909774 -> HDFC300599. Hops are chronologically ordered and 93% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history. || Received Rs 506,285 from HDFC574140 on day 6 and forwarded Rs 505,492 to HDFC300599 on day 7 - 99.8% passed on, 0.2% skimmed, held 1 day(s). The account stores no value; it is a conduit, which is the defining signature of a money mule. It is not a settlement rail: the behaviour occurs 1 time(s), not on a recurring schedule.","Account SBIN909774 has been assessed as CRITICAL risk. Over the observation window it received Rs 506,285 and disbursed Rs 505,492. The account was surfaced by 2 independent detection layer(s) evidencing circular flow, pass-through conduit. The account does not act alone: it is one of 3 accounts in RING-09, alongside HDFC300599, HDFC574140, moving Rs 1,557,210 between themselves. Taken together the transaction pattern has no apparent lawful or economic purpose and is consistent with the placement and layering of proceeds of crime. A Suspicious Transaction Report is warranted under Section 12 of the Prevention of Money-Laundering Act, 2002 read with Rule 3 of the PML (Maintenance of Records) Rules, 2005.",Sub-network temporary hold recommended; account and its one-hop neighbourhood quarantined pending FIU-IND acknowledgement.,"Section 12, Prevention of Money-Laundering Act, 2002 r/w Rule 3, PML (Maintenance of Records) Rules, 2005 - reported to FIU-IND"
