account,risk_score,risk_tier,typology,ring,sla,layers_triggered,total_inflow_inr,total_outflow_inr,exposure_inr,txn_count,betweenness,ml_anomaly_score,recommended_action,grounds_of_suspicion
CNRB243795,5,CRITICAL,Fan-out / fan-in,RING-01,T+0,CENTRALITY | FAN | PASS-THROUGH,1853934,737650,1853934,4,0.006061,0.0196,Freeze review by senior compliance officer; file STR within 7 days,"[FAN] Consolidation point: received Rs 1,853,934 from 3 accounts that were all funded by the single upstream source HDFC801992 one to five days earlier. || [PASS-THROUGH] Received Rs 768,386 from ICIC176070 on day 11 and forwarded Rs 737,650 to UTIB119613 on day 12 - 96.0% passed on, 4.0% skimmed, held 1 day(s). The account stores no value; it is a conduit, which is the defining signature of a money mule. It is not a settlement rail: the behaviour occurs 1 time(s), not on a recurring schedule. || [CENTRALITY] Chokepoint of the suspicious sub-network: betweenness 0.0061, +2.4 standard deviations above the other alerted accounts. A disproportionate share of criminal payment paths runs through this single account, so an account freeze here fragments the network rather than displacing it. Corroborates the primary flag; does not create it."
IDIB774714,5,CRITICAL,Structuring / smurfing,RING-05,T+0,ADAPTIVE | ML-ANOMALY | STRUCTURING,4760595,0,4760595,5,0.0,-0.0804,Freeze review by senior compliance officer; file STR within 7 days,"[STRUCTURING] 5 transfers PUNB249924 -> IDIB774714 totalling Rs 4,760,595, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || [ADAPTIVE] 5 transfers PUNB249924 -> IDIB774714 totalling Rs 4,760,595, every one under Rs 1,000,000 and averaging 95% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 3%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || [ML-ANOMALY] IsolationForest isolates this account at score -0.080. Largest deviations: amount_below_ctr_ratio (z=+5.2); total_received (z=+3.2); in_count (z=+2.3). Unsupervised, so it corroborates rather than originates the alert."
PUNB249924,5,CRITICAL,Structuring / smurfing,RING-05,T+0,ADAPTIVE | ML-ANOMALY | STRUCTURING,3058589,4760595,4760595,6,0.000505,-0.1048,Freeze review by senior compliance officer; file STR within 7 days,"[STRUCTURING] 5 transfers PUNB249924 -> IDIB774714 totalling Rs 4,760,595, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || [ADAPTIVE] 5 transfers PUNB249924 -> IDIB774714 totalling Rs 4,760,595, every one under Rs 1,000,000 and averaging 95% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 3%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || [ML-ANOMALY] IsolationForest isolates this account at score -0.105. Largest deviations: amount_below_ctr_ratio (z=+4.3); total_sent (z=+3.2); out_count (z=+2.9). Unsupervised, so it corroborates rather than originates the alert."
SBIN228293,5,CRITICAL,Structuring / smurfing,RING-06,T+0,ADAPTIVE | ML-ANOMALY | STRUCTURING,4723738,0,4723738,5,0.0,-0.1103,Freeze review by senior compliance officer; file STR within 7 days,"[STRUCTURING] 5 transfers UBIN261949 -> SBIN228293 totalling Rs 4,723,738, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || [ADAPTIVE] 5 transfers UBIN261949 -> SBIN228293 totalling Rs 4,723,738, every one under Rs 1,000,000 and averaging 94% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 2%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || [ML-ANOMALY] IsolationForest isolates this account at score -0.110. Largest deviations: amount_below_ctr_ratio (z=+5.2); total_received (z=+3.2); in_count (z=+2.3). Unsupervised, so it corroborates rather than originates the alert."
SBIN243921,5,CRITICAL,Structuring / smurfing,RING-07,T+0,ADAPTIVE | ML-ANOMALY | STRUCTURING,4767409,0,4767409,5,0.0,-0.0862,Freeze review by senior compliance officer; file STR within 7 days,"[STRUCTURING] 5 transfers YESB330254 -> SBIN243921 totalling Rs 4,767,409, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || [ADAPTIVE] 5 transfers YESB330254 -> SBIN243921 totalling Rs 4,767,409, every one under Rs 1,000,000 and averaging 95% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 1%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || [ML-ANOMALY] IsolationForest isolates this account at score -0.086. Largest deviations: amount_below_ctr_ratio (z=+5.2); total_received (z=+3.2); in_count (z=+2.3). Unsupervised, so it corroborates rather than originates the alert."
UBIN261949,5,CRITICAL,Structuring / smurfing,RING-06,T+0,ADAPTIVE | ML-ANOMALY | STRUCTURING,2832677,4723738,4723738,6,0.000505,-0.1133,Freeze review by senior compliance officer; file STR within 7 days,"[STRUCTURING] 5 transfers UBIN261949 -> SBIN228293 totalling Rs 4,723,738, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || [ADAPTIVE] 5 transfers UBIN261949 -> SBIN228293 totalling Rs 4,723,738, every one under Rs 1,000,000 and averaging 94% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 2%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || [ML-ANOMALY] IsolationForest isolates this account at score -0.113. Largest deviations: amount_below_ctr_ratio (z=+4.3); total_sent (z=+3.2); out_count (z=+2.9). Unsupervised, so it corroborates rather than originates the alert."
YESB330254,5,CRITICAL,Structuring / smurfing,RING-07,T+0,ADAPTIVE | ML-ANOMALY | STRUCTURING,3113164,4767409,4767409,6,0.000505,-0.1064,Freeze review by senior compliance officer; file STR within 7 days,"[STRUCTURING] 5 transfers YESB330254 -> SBIN243921 totalling Rs 4,767,409, every one sized between 85% and 100% of the Rs 1,000,000 CTR threshold, all inside 4 day(s). Amount selection is the tell: a legitimate payer has no reason to keep landing just under the reporting line. || [ADAPTIVE] 5 transfers YESB330254 -> SBIN243921 totalling Rs 4,767,409, every one under Rs 1,000,000 and averaging 95% of it, spread over 4 day(s). The reporting line was not read from a rulebook: it is the lowest round figure these tranches never cross, so the same test works in any jurisdiction. Tranche sizes vary by only 1%, which is a payer sizing to a limit rather than invoicing for goods, and the sender never once pays this receiver above the line. Spreading deposits out defeats the 5-day structuring window; it does not change any of that. || [ML-ANOMALY] IsolationForest isolates this account at score -0.106. Largest deviations: amount_below_ctr_ratio (z=+4.3); total_sent (z=+3.2); out_count (z=+2.9). Unsupervised, so it corroborates rather than originates the alert."
BARB257079,4,CRITICAL,Circular flow,RING-02,T+0,CYCLE | PASS-THROUGH,559136,527581,559136,2,0.003535,0.119,Freeze review by senior compliance officer; file STR within 7 days,"[CYCLE] Member of a closed 5-hop loop carrying Rs 3,042,922, closed in 4 day(s): BARB257079 -> SBIN104123 -> UBIN914225 -> KKBK226182 -> SBIN596493 -> BARB257079. Hops are chronologically ordered and 63% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history. || [PASS-THROUGH] Received Rs 559,136 from SBIN596493 on day 17 and forwarded Rs 527,581 to SBIN104123 on day 18 - 94.4% passed on, 5.6% skimmed, held 1 day(s). The account stores no value; it is a conduit, which is the defining signature of a money mule. It is not a settlement rail: the behaviour occurs 1 time(s), not on a recurring schedule."
SBIN104123,4,CRITICAL,Circular flow,RING-02,T+0,CYCLE | PASS-THROUGH,527581,527242,527581,2,0.00404,0.1194,Freeze review by senior compliance officer; file STR within 7 days,"[CYCLE] Member of a closed 5-hop loop carrying Rs 3,042,922, closed in 4 day(s): BARB257079 -> SBIN104123 -> UBIN914225 -> KKBK226182 -> SBIN596493 -> BARB257079. Hops are chronologically ordered and 63% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history. || [PASS-THROUGH] Received Rs 527,581 from BARB257079 on day 18 and forwarded Rs 527,242 to UBIN914225 on day 19 - 99.9% passed on, 0.1% skimmed, held 1 day(s). The account stores no value; it is a conduit, which is the defining signature of a money mule. It is not a settlement rail: the behaviour occurs 1 time(s), not on a recurring schedule."
SBIN909774,4,CRITICAL,Circular flow,RING-09,T+0,CYCLE | PASS-THROUGH,506285,505492,506285,2,0.000505,0.1203,Freeze review by senior compliance officer; file STR within 7 days,"[CYCLE] Member of a closed 3-hop loop carrying Rs 1,557,210, closed in 2 day(s): HDFC300599 -> HDFC574140 -> SBIN909774 -> HDFC300599. Hops are chronologically ordered and 93% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history. || [PASS-THROUGH] Received Rs 506,285 from HDFC574140 on day 6 and forwarded Rs 505,492 to HDFC300599 on day 7 - 99.8% passed on, 0.2% skimmed, held 1 day(s). The account stores no value; it is a conduit, which is the defining signature of a money mule. It is not a settlement rail: the behaviour occurs 1 time(s), not on a recurring schedule."
UTIB119613,3,HIGH,Fan-out / fan-in,RING-01,T+0,CENTRALITY | PASS-THROUGH,1237650,490000,1237650,3,0.006061,0.08,Escalate to compliance officer the same business day,"[PASS-THROUGH] Received Rs 500,000 from UTIB165839 on day 18 and forwarded Rs 490,000 to HDFC259211 on day 19 - 98.0% passed on, 2.0% skimmed, held 1 day(s). The account stores no value; it is a conduit, which is the defining signature of a money mule. It is not a settlement rail: the behaviour occurs 1 time(s), not on a recurring schedule. || [CENTRALITY] Chokepoint of the suspicious sub-network: betweenness 0.0061, +2.4 standard deviations above the other alerted accounts. A disproportionate share of criminal payment paths runs through this single account, so an account freeze here fragments the network rather than displacing it. Corroborates the primary flag; does not create it."
BARB687513,2,MEDIUM,Circular flow,RING-08,T+1,CYCLE,414816,593752,593752,2,0.001515,0.1314,Analyst review queue,"[CYCLE] Member of a closed 4-hop loop carrying Rs 2,307,363, closed in 3 day(s): BARB687513 -> UTIB922369 -> PUNB656506 -> UTIB441817 -> BARB687513. Hops are chronologically ordered and 49% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history."
