account,typology,first_active_day,detected_day,latency_days
SBIN909774,CYCLE-RING-3,6,7,1
HDFC300599,CYCLE-RING-3,7,8,1
HDFC574140,CYCLE-RING-3,6,8,2
CNRB243795,FAN-RING-1,11,12,1
HDFC801992,FAN-RING-1,7,12,5
ICIC176070,FAN-RING-1,7,12,5
ICIC511423,FAN-RING-1,7,12,5
PUNB549145,FAN-RING-1,7,12,5
BARB687513,CYCLE-RING-4,10,13,3
ICIC742282,FAN-RING-3,8,13,5
PUNB656506,CYCLE-RING-4,11,13,2
UBIN166447,FAN-RING-3,8,13,5
UTIB441817,CYCLE-RING-4,12,13,1
UTIB826381,FAN-RING-3,8,13,5
UTIB896910,FAN-RING-3,10,13,3
UTIB922369,CYCLE-RING-4,10,13,3
YESB735581,FAN-RING-3,8,13,5
ICIC359685,FAN-RING-2,12,16,4
IDIB312429,FAN-RING-2,12,16,4
PUNB372202,FAN-RING-2,12,16,4
SBIN632840,FAN-RING-2,15,16,1
UTIB601257,FAN-RING-2,12,16,4
SBIN243921,STRUCTURING-RING-1,14,17,3
YESB330254,STRUCTURING-RING-1,2,17,15
BARB257079,CYCLE-RING-5,17,18,1
SBIN228293,STRUCTURING-RING-3,15,18,3
UBIN261949,STRUCTURING-RING-3,4,18,14
SBIN104123,CYCLE-RING-5,18,19,1
UTIB119613,MULE-CHAIN-1,12,19,7
HDFC259211,MULE-CHAIN-1,19,20,1
KKBK226182,CYCLE-RING-5,16,20,4
SBIN596493,CYCLE-RING-5,16,20,4
UBIN914225,CYCLE-RING-5,19,20,1
IDIB774714,STRUCTURING-RING-2,20,23,3
PUNB249924,STRUCTURING-RING-2,6,23,17
