txn_id,sender,receiver,amount,day,timestamp,channel
TXN00015,UTIB239643,HDFC660559,1000,1,2026-08-01T10:30:00,UPI
TXN00016,SBIN251262,PUNB640531,1000,1,2026-08-01T10:09:00,UPI
TXN00031,SBIN619167,SBIN917710,1300,1,2026-08-01T19:28:00,UPI
TXN00043,UTIB578365,IBKL815887,2200,1,2026-08-01T15:24:00,UPI
TXN00051,ICIC801133,ICIC851438,1000,1,2026-08-01T16:17:00,UPI
TXN00068,CNRB291200,SBIN520148,1000,1,2026-08-01T13:52:00,UPI
TXN00082,HDFC318904,ICIC513264,3100,1,2026-08-01T14:41:00,UPI
TXN00095,HDFC207151,ICIC287193,3300,1,2026-08-01T18:46:00,UPI
TXN00103,YESB195431,HDFC765100,1800,1,2026-08-01T12:09:00,UPI
TXN00116,IBKL928494,HDFC207119,1400,1,2026-08-01T12:36:00,UPI
TXN00223,CNRB163863,ICIC299868,463111,1,2026-08-01T17:38:00,NEFT
TXN00243,CNRB321293,HDFC653918,591581,1,2026-08-01T16:21:00,NEFT
TXN00004,HDFC711097,UBIN959077,4900,2,2026-08-02T11:17:00,IMPS
TXN00006,SBIN190122,ICIC766728,1800,2,2026-08-02T11:27:00,UPI
TXN00013,UTIB151998,KKBK255766,3200,2,2026-08-02T15:55:00,UPI
TXN00025,UTIB914983,HDFC653918,2800,2,2026-08-02T19:12:00,UPI
TXN00035,UTIB272975,CNRB945234,2500,2,2026-08-02T13:40:00,UPI
TXN00049,IBKL961850,IDIB568952,1000,2,2026-08-02T13:08:00,UPI
TXN00057,ICIC620625,ICIC391335,6400,2,2026-08-02T18:09:00,UPI
TXN00078,BARB511439,SBIN932967,2000,2,2026-08-02T11:02:00,UPI
TXN00102,BARB412569,SBIN202163,1000,2,2026-08-02T17:16:00,UPI
TXN00227,SBIN352223,HDFC790504,592366,2,2026-08-02T11:24:00,NEFT
TXN00228,UTIB165839,SBIN352223,214428,2,2026-08-02T05:55:00,NEFT
TXN00278,HDFC632084,IDIB263486,882337,2,2026-08-02T12:16:00,RTGS
TXN00293,HDFC661913,YESB330254,3113164,2,2026-08-02T15:12:00,RTGS
TXN00062,SBIN535469,ICIC588625,1000,3,2026-08-03T22:12:00,UPI
TXN00070,HDFC660559,ICIC766728,2100,3,2026-08-03T16:35:00,UPI
TXN00071,SBIN693851,HDFC694315,1200,3,2026-08-03T10:13:00,UPI
TXN00128,BARB188896,UBIN959077,1000,3,2026-08-03T17:50:00,UPI
TXN00224,SBIN539366,SBIN352223,449327,3,2026-08-03T22:37:00,NEFT
TXN00232,SBIN539366,HDFC323115,606107,3,2026-08-03T11:23:00,NEFT
TXN00240,SBIN539366,CNRB321293,755279,3,2026-08-03T16:45:00,NEFT
TXN00279,IDIB263486,HDFC632084,869101,3,2026-08-03T19:36:00,RTGS
