txn_id,day,timestamp,sender,receiver,amount,channel,stage,ring,sender_risk,receiver_risk
TXN00293,2,2026-08-02T15:12:00,HDFC661913,YESB330254,3113164,RTGS,PLACEMENT,RING-07,0,5
TXN00295,4,2026-08-04T09:02:00,SBIN932967,UBIN261949,2832677,RTGS,PLACEMENT,RING-06,0,5
TXN00184,6,2026-08-06T15:49:00,HDFC574140,SBIN909774,506285,NEFT,LAYERING,RING-09,2,4
TXN00294,6,2026-08-06T02:26:00,ICIC427000,PUNB249924,3058589,RTGS,PLACEMENT,RING-05,0,5
TXN00166,7,2026-08-07T17:03:00,HDFC801992,PUNB549145,545551,NEFT,LAYERING,RING-01,2,2
TXN00167,7,2026-08-07T22:15:00,HDFC801992,ICIC176070,807899,NEFT,LAYERING,RING-01,2,2
TXN00168,7,2026-08-07T09:10:00,HDFC801992,ICIC511423,822375,NEFT,LAYERING,RING-01,2,2
TXN00185,7,2026-08-07T14:55:00,SBIN909774,HDFC300599,505492,NEFT,LAYERING,RING-09,4,2
TXN00178,8,2026-08-08T13:08:00,UTIB826381,YESB735581,423656,NEFT,LAYERING,RING-04,2,2
TXN00179,8,2026-08-08T23:56:00,UTIB826381,ICIC742282,391830,IMPS,LAYERING,RING-04,2,2
TXN00180,8,2026-08-08T04:06:00,UTIB826381,UBIN166447,725752,NEFT,LAYERING,RING-04,2,2
TXN00186,8,2026-08-08T13:55:00,HDFC300599,HDFC574140,545433,NEFT,LAYERING,RING-09,2,2
TXN00181,10,2026-08-10T18:49:00,YESB735581,UTIB896910,286512,NEFT,LAYERING,RING-04,2,2
TXN00187,10,2026-08-10T15:36:00,BARB687513,UTIB922369,593752,NEFT,LAYERING,RING-08,2,2
TXN00170,11,2026-08-11T19:04:00,ICIC176070,CNRB243795,768386,NEFT,LAYERING,RING-01,2,5
TXN00171,11,2026-08-11T00:43:00,ICIC511423,CNRB243795,469287,NEFT,LAYERING,RING-01,2,5
TXN00183,11,2026-08-11T19:48:00,UBIN166447,UTIB896910,367035,NEFT,LAYERING,RING-04,2,2
TXN00188,11,2026-08-11T10:49:00,UTIB922369,PUNB656506,457270,NEFT,LAYERING,RING-08,2,2
TXN00169,12,2026-08-12T13:53:00,PUNB549145,CNRB243795,616261,NEFT,LAYERING,RING-01,2,5
TXN00172,12,2026-08-12T22:31:00,IDIB312429,PUNB372202,646508,NEFT,LAYERING,RING-03,2,2
TXN00173,12,2026-08-12T19:08:00,IDIB312429,ICIC359685,451508,NEFT,LAYERING,RING-03,2,2
TXN00174,12,2026-08-12T14:30:00,IDIB312429,UTIB601257,655054,NEFT,LAYERING,RING-03,2,2
TXN00189,12,2026-08-12T16:04:00,PUNB656506,UTIB441817,841525,NEFT,LAYERING,RING-08,2,2
TXN00199,12,2026-08-12T11:55:00,CNRB243795,UTIB119613,737650,NEFT,LAYERING,RING-01,5,3
TXN00182,13,2026-08-13T18:56:00,ICIC742282,UTIB896910,343070,NEFT,LAYERING,RING-04,2,2
TXN00190,13,2026-08-13T19:09:00,UTIB441817,BARB687513,414816,NEFT,LAYERING,RING-08,2,2
TXN00151,14,2026-08-14T19:08:00,YESB330254,SBIN243921,961354,NEFT,PLACEMENT,RING-07,5,5
TXN00152,15,2026-08-15T13:45:00,YESB330254,SBIN243921,961525,NEFT,PLACEMENT,RING-07,5,5
TXN00161,15,2026-08-15T06:50:00,UBIN261949,SBIN228293,945409,NEFT,PLACEMENT,RING-06,5,5
TXN00175,15,2026-08-15T13:35:00,PUNB372202,SBIN632840,831066,NEFT,LAYERING,RING-03,2,2
TXN00153,16,2026-08-16T19:11:00,YESB330254,SBIN243921,949302,NEFT,PLACEMENT,RING-07,5,5
TXN00162,16,2026-08-16T18:50:00,UBIN261949,SBIN228293,970060,NEFT,PLACEMENT,RING-06,5,5
TXN00176,16,2026-08-16T15:21:00,ICIC359685,SBIN632840,335281,NEFT,LAYERING,RING-03,2,2
TXN00177,16,2026-08-16T12:41:00,UTIB601257,SBIN632840,808219,NEFT,LAYERING,RING-03,2,2
TXN00191,16,2026-08-16T22:13:00,KKBK226182,SBIN596493,832450,NEFT,LAYERING,RING-02,2,2
TXN00154,17,2026-08-17T13:22:00,YESB330254,SBIN243921,963120,NEFT,PLACEMENT,RING-07,5,5
TXN00163,17,2026-08-17T19:53:00,UBIN261949,SBIN228293,911849,NEFT,PLACEMENT,RING-06,5,5
TXN00192,17,2026-08-17T09:43:00,SBIN596493,BARB257079,559136,NEFT,LAYERING,RING-02,2,4
TXN00299,17,2026-08-17T11:28:00,UTIB896910,ICIC513264,290724,NEFT,INTEGRATION,RING-04,2,0
TXN00155,18,2026-08-18T16:27:00,YESB330254,SBIN243921,932108,NEFT,PLACEMENT,RING-07,5,5
TXN00164,18,2026-08-18T17:05:00,UBIN261949,SBIN228293,938934,NEFT,PLACEMENT,RING-06,5,5
TXN00193,18,2026-08-18T12:55:00,BARB257079,SBIN104123,527581,NEFT,LAYERING,RING-02,4,4
TXN00196,18,2026-08-18T16:42:00,UTIB165839,UTIB119613,500000,NEFT,PLACEMENT,RING-01,0,3
TXN00165,19,2026-08-19T01:16:00,UBIN261949,SBIN228293,957486,NEFT,PLACEMENT,RING-06,5,5
TXN00194,19,2026-08-19T03:28:00,SBIN104123,UBIN914225,527242,NEFT,LAYERING,RING-02,4,2
TXN00197,19,2026-08-19T00:45:00,UTIB119613,HDFC259211,490000,IMPS,LAYERING,RING-01,3,2
TXN00156,20,2026-08-20T11:59:00,PUNB249924,IDIB774714,983532,NEFT,PLACEMENT,RING-05,5,5
TXN00195,20,2026-08-20T11:46:00,UBIN914225,KKBK226182,596513,NEFT,LAYERING,RING-02,2,2
TXN00198,20,2026-08-20T01:24:00,HDFC259211,ICIC917857,480000,NEFT,INTEGRATION,RING-01,2,0
TXN00157,21,2026-08-21T05:50:00,PUNB249924,IDIB774714,939736,NEFT,PLACEMENT,RING-05,5,5
TXN00158,22,2026-08-22T18:00:00,PUNB249924,IDIB774714,918402,NEFT,PLACEMENT,RING-05,5,5
TXN00159,23,2026-08-23T19:18:00,PUNB249924,IDIB774714,986154,NEFT,PLACEMENT,RING-05,5,5
TXN00301,23,2026-08-23T16:39:00,KKBK226182,IBKL815887,243713,IMPS,INTEGRATION,RING-02,2,0
TXN00160,24,2026-08-24T12:11:00,PUNB249924,IDIB774714,932771,NEFT,PLACEMENT,RING-05,5,5
TXN00296,24,2026-08-24T01:16:00,SBIN632840,SBIN104292,479383,IMPS,INTEGRATION,RING-03,2,0
TXN00297,24,2026-08-24T00:18:00,SBIN632840,HDFC660559,213805,NEFT,INTEGRATION,RING-03,2,0
TXN00300,24,2026-08-24T18:18:00,HDFC574140,PUNB309001,164969,IMPS,INTEGRATION,RING-09,2,0
TXN00298,26,2026-08-26T23:57:00,UTIB896910,SBIN917710,332218,NEFT,INTEGRATION,RING-04,2,0
