Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2026/08/01 09:00,10,801000,11,801000,851516.0,Rupee,570084.0,Rupee,Wire,1
2026/08/02 10:01,11,801001,12,801007,809548.0,Rupee,528897.0,Rupee,Credit Card,0
2026/08/03 11:02,12,801002,13,801014,753612.0,Rupee,218182.0,Rupee,ACH,0
2026/08/04 12:03,13,801003,10,801021,284146.0,Rupee,270858.0,Rupee,Credit Card,0
2026/08/05 13:04,10,801004,11,801028,823108.0,Rupee,24633.0,Rupee,Cheque,0
2026/08/06 14:05,11,801005,12,801035,742681.0,Rupee,135667.0,Rupee,Credit Card,0
2026/08/07 15:06,12,801006,13,801002,124793.0,Rupee,431782.0,Rupee,Credit Card,0
2026/08/08 16:07,13,801007,10,801009,286668.0,Rupee,320611.0,Rupee,Cheque,0
2026/08/09 17:08,10,801008,11,801016,653134.0,Rupee,244285.0,Rupee,Credit Card,0
2026/08/10 18:09,11,801009,12,801023,411667.0,Rupee,440771.0,Rupee,Wire,0
2026/08/11 19:10,12,801010,13,801030,532637.0,Rupee,507077.0,Rupee,Wire,0
2026/08/12 20:11,13,801011,10,801037,896040.0,Rupee,730744.0,Rupee,Credit Card,0
2026/08/13 09:12,10,801012,11,801004,636241.0,Rupee,567517.0,Rupee,Cheque,0
2026/08/14 10:13,11,801013,12,801011,890284.0,Rupee,430282.0,Rupee,ACH,0
2026/08/15 11:14,12,801014,13,801018,763676.0,Rupee,160986.0,Rupee,Credit Card,0
2026/08/16 12:15,13,801015,10,801025,559034.0,Rupee,120947.0,Rupee,ACH,0
2026/08/17 13:16,10,801016,11,801032,411387.0,Rupee,51398.0,Rupee,ACH,0
2026/08/18 14:17,11,801017,12,801039,473102.0,Rupee,873832.0,Rupee,Cheque,1
2026/08/19 15:18,12,801018,13,801006,731432.0,Rupee,827107.0,Rupee,Credit Card,0
2026/08/20 16:19,13,801019,10,801013,573719.0,Rupee,408430.0,Rupee,Wire,0
2026/08/21 17:20,10,801020,11,801020,254317.0,Rupee,457248.0,Rupee,Cheque,0
2026/08/22 18:21,11,801021,12,801027,237813.0,Rupee,894061.0,Rupee,ACH,0
2026/08/23 19:22,12,801022,13,801034,105529.0,Rupee,189313.0,Rupee,Credit Card,0
2026/08/24 20:23,13,801023,10,801001,628988.0,Rupee,796022.0,Rupee,ACH,0
2026/08/25 09:24,10,801024,11,801008,654459.0,Rupee,345191.0,Rupee,Cheque,0
2026/08/26 10:25,11,801025,12,801015,23286.0,Rupee,563436.0,Rupee,Credit Card,0
2026/08/27 11:26,12,801026,13,801022,604046.0,Rupee,155925.0,Rupee,Wire,0
2026/08/28 12:27,13,801027,10,801029,255487.0,Rupee,869108.0,Rupee,Credit Card,0
2026/08/01 13:28,10,801028,11,801036,183884.0,Rupee,468615.0,Rupee,Credit Card,0
2026/08/02 14:29,11,801029,12,801003,765492.0,Rupee,642972.0,Rupee,Wire,0
2026/08/03 15:30,12,801030,13,801010,57060.0,Rupee,672758.0,Rupee,Cheque,0
2026/08/04 16:31,13,801031,10,801017,100516.0,Rupee,235146.0,Rupee,Wire,0
2026/08/05 17:32,10,801032,11,801024,659572.0,Rupee,466839.0,Rupee,Wire,0
2026/08/06 18:33,11,801033,12,801031,786778.0,Rupee,623698.0,Rupee,Cheque,0
2026/08/07 19:34,12,801034,13,801038,586056.0,Rupee,546401.0,Rupee,ACH,1
2026/08/08 20:35,13,801035,10,801005,72141.0,Rupee,600937.0,Rupee,Cheque,0
2026/08/09 09:36,10,801036,11,801012,546530.0,Rupee,304271.0,Rupee,ACH,0
2026/08/10 10:37,11,801037,12,801019,152175.0,Rupee,355792.0,Rupee,Credit Card,0
2026/08/11 11:38,12,801038,13,801026,372878.0,Rupee,353912.0,Rupee,Wire,0
2026/08/12 12:39,13,801039,10,801033,881298.0,Rupee,365173.0,Rupee,Wire,0
2026/08/13 13:40,10,801000,11,801000,406747.0,Rupee,552449.0,Rupee,Cheque,0
2026/08/14 14:41,11,801001,12,801007,581436.0,Rupee,501493.0,Rupee,Wire,0
2026/08/15 15:42,12,801002,13,801014,861953.0,Rupee,152693.0,Rupee,Wire,0
2026/08/16 16:43,13,801003,10,801021,407475.0,Rupee,335035.0,Rupee,ACH,0
2026/08/17 17:44,10,801004,11,801028,65989.0,Rupee,374198.0,Rupee,Credit Card,0
2026/08/18 18:45,11,801005,12,801035,105099.0,Rupee,377373.0,Rupee,Credit Card,0
2026/08/19 19:46,12,801006,13,801002,857291.0,Rupee,209203.0,Rupee,ACH,0
2026/08/20 20:47,13,801007,10,801009,611153.0,Rupee,32550.0,Rupee,Cheque,0
2026/08/21 09:48,10,801008,11,801016,457411.0,Rupee,789187.0,Rupee,ACH,0
2026/08/22 10:49,11,801009,12,801023,602748.0,Rupee,489069.0,Rupee,ACH,0
2026/08/23 11:50,12,801010,13,801030,764141.0,Rupee,763665.0,Rupee,Cheque,0
2026/08/24 12:51,13,801011,10,801037,851554.0,Rupee,554040.0,Rupee,Credit Card,1
2026/08/25 13:52,10,801012,11,801004,865314.0,Rupee,521352.0,Rupee,Cheque,0
2026/08/26 14:53,11,801013,12,801011,148004.0,Rupee,515306.0,Rupee,ACH,0
2026/08/27 15:54,12,801014,13,801018,680192.0,Rupee,836557.0,Rupee,ACH,0
2026/08/28 16:55,13,801015,10,801025,506047.0,Rupee,63266.0,Rupee,ACH,0
2026/08/01 17:56,10,801016,11,801032,351910.0,Rupee,797970.0,Rupee,Credit Card,0
2026/08/02 18:57,11,801017,12,801039,584583.0,Rupee,533438.0,Rupee,Wire,0
2026/08/03 19:58,12,801018,13,801006,73340.0,Rupee,351133.0,Rupee,Credit Card,0
